name,status,observed,expected,detail
shard root exists,PASS,Data,existing path,
manifest.json exists,PASS,Data\manifest.json,present,
manifest canonical feature count,PASS,651,651,
manifest feature names unique,PASS,651,651,
manifest target-leakage name scan,PASS,[],[],
parquet block count,PASS,72,72,
missing expected blocks,PASS,[],[],
unexpected blocks,PASS,[],[],
PAIR_2012_Central: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2012_Central: year identity,PASS,[2012],[2012],
PAIR_2012_Central: region identity,PASS,['Central'],['Central'],
PAIR_2012_Central: parseable dates,PASS,0,0,
PAIR_2012_Central: date.year == year,PASS,0,0,
PAIR_2012_Central: pair-key identity,PASS,['2012|Central'],"['2012_Central', '2012|Central', 'PAIR_2012_Central']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2012_Central: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2012_Central: target NaN,PASS,0,0,
PAIR_2012_Central: target finite,PASS,0,0,
PAIR_2012_Central: stored feature width,PASS,651,651,
PAIR_2012_Central: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2012_Central: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2012_Central: no target-derived feature names,PASS,[],[],
PAIR_2012_Central: lag1 feature count,PASS,73,73,
PAIR_2012_Central: rolling feature count,PASS,438,438,
PAIR_2012_Central: total temporal derivatives,PASS,511,511,
PAIR_2012_Central: infinite feature values,PASS,0,0,
PAIR_2012_Central: raw feature NaN cells,WARN,29923,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2012_Central: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2012_Central: constant/all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2012_East: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2012_East: year identity,PASS,[2012],[2012],
PAIR_2012_East: region identity,PASS,['East'],['East'],
PAIR_2012_East: parseable dates,PASS,0,0,
PAIR_2012_East: date.year == year,PASS,0,0,
PAIR_2012_East: pair-key identity,PASS,['2012|East'],"['2012_East', '2012|East', 'PAIR_2012_East']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2012_East: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2012_East: target NaN,PASS,0,0,
PAIR_2012_East: target finite,PASS,0,0,
PAIR_2012_East: stored feature width,PASS,651,651,
PAIR_2012_East: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2012_East: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2012_East: no target-derived feature names,PASS,[],[],
PAIR_2012_East: lag1 feature count,PASS,73,73,
PAIR_2012_East: rolling feature count,PASS,438,438,
PAIR_2012_East: total temporal derivatives,PASS,511,511,
PAIR_2012_East: infinite feature values,PASS,0,0,
PAIR_2012_East: raw feature NaN cells,WARN,29419,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2012_East: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2012_East: constant/all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2012_North: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2012_North: year identity,PASS,[2012],[2012],
PAIR_2012_North: region identity,PASS,['North'],['North'],
PAIR_2012_North: parseable dates,PASS,0,0,
PAIR_2012_North: date.year == year,PASS,0,0,
PAIR_2012_North: pair-key identity,PASS,['2012|North'],"['2012_North', '2012|North', 'PAIR_2012_North']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2012_North: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2012_North: target NaN,PASS,0,0,
PAIR_2012_North: target finite,PASS,0,0,
PAIR_2012_North: stored feature width,PASS,651,651,
PAIR_2012_North: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2012_North: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2012_North: no target-derived feature names,PASS,[],[],
PAIR_2012_North: lag1 feature count,PASS,73,73,
PAIR_2012_North: rolling feature count,PASS,438,438,
PAIR_2012_North: total temporal derivatives,PASS,511,511,
PAIR_2012_North: infinite feature values,PASS,0,0,
PAIR_2012_North: raw feature NaN cells,WARN,76034,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2012_North: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2012_North: constant/all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2012_Toronto: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2012_Toronto: year identity,PASS,[2012],[2012],
PAIR_2012_Toronto: region identity,PASS,['Toronto'],['Toronto'],
PAIR_2012_Toronto: parseable dates,PASS,0,0,
PAIR_2012_Toronto: date.year == year,PASS,0,0,
PAIR_2012_Toronto: pair-key identity,PASS,['2012|Toronto'],"['2012_Toronto', '2012|Toronto', 'PAIR_2012_Toronto']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2012_Toronto: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2012_Toronto: target NaN,PASS,0,0,
PAIR_2012_Toronto: target finite,PASS,0,0,
PAIR_2012_Toronto: stored feature width,PASS,651,651,
PAIR_2012_Toronto: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2012_Toronto: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2012_Toronto: no target-derived feature names,PASS,[],[],
PAIR_2012_Toronto: lag1 feature count,PASS,73,73,
PAIR_2012_Toronto: rolling feature count,PASS,438,438,
PAIR_2012_Toronto: total temporal derivatives,PASS,511,511,
PAIR_2012_Toronto: infinite feature values,PASS,0,0,
PAIR_2012_Toronto: raw feature NaN cells,WARN,17000,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2012_Toronto: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2012_Toronto: constant/all-NaN features,WARN,"['ca_lc_lc_majority_class', 'burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047', 'aod_obs_flag', 'aod_imputed_flag']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2012_West_NH: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2012_West_NH: year identity,PASS,[2012],[2012],
PAIR_2012_West_NH: region identity,PASS,['West_NH'],['West_NH'],
PAIR_2012_West_NH: parseable dates,PASS,0,0,
PAIR_2012_West_NH: date.year == year,PASS,0,0,
PAIR_2012_West_NH: pair-key identity,PASS,['2012|West_NH'],"['2012_West_NH', '2012|West_NH', 'PAIR_2012_West_NH']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2012_West_NH: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2012_West_NH: target NaN,PASS,0,0,
PAIR_2012_West_NH: target finite,PASS,0,0,
PAIR_2012_West_NH: stored feature width,PASS,651,651,
PAIR_2012_West_NH: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
